asset_name,category,collection,scale_meters,poly_count,vertex_count,material_count,texture_status,export_fbx_path,export_glb_path,quality_status,notes
CP_CheckpointBooth_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,3.76x3.23x2.95,80186,52580,14,"Optimized: exterior baked 2K atlas; prop textures capped to 1024; GLB 11.6MB. Glass transparent; emissive ceiling light. All textures embedded. Imported props CC-BY (see ATTRIBUTION.md).",01_Exports_FBX/Checkpoint_Charlie/CP_CheckpointBooth_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_CheckpointBooth_A.glb,PENDING_USER_REVIEW,"Furnished Allied Checkpoint Charlie booth. Engine-optimized: 87 objs->6 meshes, prop materials collapsed (chair 15->1 slot), book pile decimated, prop textures 1024. Desk open logbook added. Real scale, ground-center pivot, props parented to booth."
CP_Sign_AmericanSector_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,3.50x0.36x3.62,38569,51724,1,"Baked 2K PBR atlas (BaseColor/Roughness/Normal) embedded in GLB+FBX. Single material. No missing textures.",01_Exports_FBX/Checkpoint_Charlie/CP_Sign_AmericanSector_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_Sign_AmericanSector_A.glb,PENDING_USER_REVIEW,"Iconic 'YOU ARE LEAVING THE AMERICAN SECTOR' sign. Manually modeled (only Sketchfab match was NC-SA licensed). 51940 tris. 4-language text: front EN/RU(Cyrillic)/FR, back DE. Arial Bold font. White board + black border + steel posts + concrete footings. Ground-center pivot, applied transforms. 100% original (no third-party/licensing)."
CP_BoomBarrier_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,5.85x0.60x1.31,1252,644,4,"Procedural PBR (red/white stripe boom, painted metal, concrete) - no image textures",01_Exports_FBX/Checkpoint_Charlie/CP_BoomBarrier_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_BoomBarrier_A.glb,PENDING_USER_REVIEW,"Checkpoint lift barrier (closed). 100% original model. Ground-center pivot at hinge post."
CP_Sandbags_A,Checkpoint_Charlie,CHECKPOINT_Charlie_Final,2.00x0.32x0.45,19975,10200,1,"Imported Sketchfab CC-BY (G4AGamingLabs); texture capped 1024; embedded in GLB/FBX",01_Exports_FBX/Checkpoint_Charlie/CP_Sandbags_A.fbx,02_Exports_GLB/Checkpoint_Charlie/CP_Sandbags_A.glb,PENDING_USER_REVIEW,"Sandbag barrier wall. CC-BY attribution required (Notes/ATTRIBUTION.md). Ground-center pivot, modular 2m."
WALL_Segment_3p6m_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,1.20x0.58x3.62,676,344,1,"Baked 2K PBR atlas (BaseColor/Roughness/Normal) embedded; single material",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Segment_3p6m_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Segment_3p6m_A.glb,PENDING_USER_REVIEW,"Grenzmauer-75 Berlin Wall segment (3.6m, L-foot, rounded pipe top). 100% original model. Modular 1.2m width. Ground-center pivot. Clean/east side - graffiti is separate asset."
PROP_Trabant_A,Vehicles_Props,VEHICLES_Props_Final,1.51x3.55x1.44,91248,47000,3,"Imported Sketchfab CC-BY (haricsiko); textures capped 1024; separate Glass material; embedded",01_Exports_FBX/Vehicles_Props/PROP_Trabant_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_Trabant_A.glb,PENDING_USER_REVIEW,"Weathered Trabant 601 (iconic East German car). CC-BY attribution required (Notes/ATTRIBUTION.md). Ground-center pivot."
WALL_Watchtower_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,3.03x3.03x11.55,1656,864,2,"Baked 2K PBR atlas + transparent glass; embedded",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_Watchtower_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_Watchtower_A.glb,PENDING_USER_REVIEW,"GDR BT-9 style border watchtower (round shaft + octagonal glazed cabin + roof railing + searchlight). 100% original model. Ground-center pivot. ~11.5m tall."
WALL_DragonTeeth_A,Berlin_Wall_Border_Zone,WALL_BorderZone_Final,4.40x1.40x1.07,440,0,1,"Constant PBR concrete (procedural bump) - exports as factor",01_Exports_FBX/Berlin_Wall_Border_Zone/WALL_DragonTeeth_A.fbx,02_Exports_GLB/Berlin_Wall_Border_Zone/WALL_DragonTeeth_A.glb,PENDING_USER_REVIEW,"Dragon teeth anti-vehicle obstacle (staggered concrete rows on base). 100% original. Ground-center pivot, modular 4.4m."
PROP_StreetLamp_A,Vehicles_Props,VEHICLES_Props_Final,0.73x0.33x5.00,7810,0,2,"Imported Sketchfab CC-BY (bez_glaza); textures capped 1024; embedded",01_Exports_FBX/Vehicles_Props/PROP_StreetLamp_A.fbx,02_Exports_GLB/Vehicles_Props/PROP_StreetLamp_A.glb,PENDING_USER_REVIEW,"Berlin-style hanging street lamp (5m). CC-BY attribution required (Notes/ATTRIBUTION.md). Ground-center pivot."
GDR_Lenin_Monument_A,GDR_Socialist_Symbols,GDR_Symbols_Final,2.96x3.23x5.48,9929,0,2,"Imported Sketchfab CC-BY (spacelynxcanfly); textures capped 1024; embedded",01_Exports_FBX/GDR_Socialist_Symbols/GDR_Lenin_Monument_A.fbx,02_Exports_GLB/GDR_Socialist_Symbols/GDR_Lenin_Monument_A.glb,PENDING_USER_REVIEW,"Upright Lenin statue on formal stepped pedestal (maintained/official per brief - NOT fallen/ruined). CC-BY attribution required. Ground-center pivot."
